Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year
Ghana,4.633,0.54558,0.40132,0.42342,0.04355,0.23087,0.67954,2015
Zimbabwe,4.61,0.271,0.33475,0.25861,0.08079,0.18987,1.03276,2015
Liberia,4.571,0.0712,0.34201,0.28531,0.06232,0.24362,0.78968,2015
India,4.565,0.64499,0.51529,0.39786,0.08492,0.26475,0.38174,2015
Sudan,4.55,0.52107,0.36878,0.10081,0.1466,0.19062,1.01404,2015
Haiti,4.518,0.26673,0.38847,0.24425,0.17175,0.46187,0.74302,2015
Congo (Kinshasa),4.517,0.0,0.09806,0.22605,0.07625,0.24834,1.0012,2015
Nepal,4.514,0.35997,0.56874,0.38282,0.05907,0.32296,0.86449,2015
Ethiopia,4.512,0.19073,0.44055,0.4345,0.15048,0.24325,0.60406,2015
Sierra Leone,4.507,0.33024,0.0,0.4084,0.08786,0.21488,0.95571,2015
Mauritania,4.436,0.45407,0.35874,0.24232,0.17461,0.219,0.86908,2015
Kenya,4.419,0.36471,0.41435,0.42215,0.05839,0.37542,0.99876,2015
Djibouti,4.369,0.44025,0.36291,0.46074,0.28105,0.18093,0.59207,2015
Armenia,4.35,0.76821,0.7299,0.19847,0.039,0.07855,0.77711,2015
Botswana,4.332,0.99355,0.04776,0.49495,0.12474,0.10461,1.10464,2015
Myanmar,4.307,0.27108,0.48246,0.44017,0.19034,0.79588,0.70905,2015
Georgia,4.297,0.7419,0.72926,0.40577,0.38331,0.05547,0.38562,2015
Malawi,4.292,0.01604,0.22562,0.43054,0.06977,0.33128,0.41134,2015
Sri Lanka,4.271,0.83524,0.70806,0.53726,0.09179,0.40828,1.01905,2015
Cameroon,4.252,0.4225,0.23402,0.49309,0.05786,0.20618,0.88767,2015
Bulgaria,4.218,1.01216,0.76649,0.30587,0.00872,0.11921,1.10614,2015
Egypt,4.194,0.8818,0.61712,0.17288,0.06324,0.11291,0.747,2015
Yemen,4.077,0.54649,0.40064,0.35571,0.07854,0.09131,0.68093,2015
Angola,4.033,0.75778,0.16683,0.10384,0.07122,0.12344,0.8604,2015
Mali,3.995,0.26074,0.20583,0.38857,0.12352,0.18798,1.03526,2015
Congo (Brazzaville),3.989,0.67866,0.31051,0.41466,0.11686,0.12388,0.6629,2015
Comoros,3.956,0.23906,0.36315,0.22917,0.199,0.17441,0.79273,2015
Uganda,3.931,0.21102,0.33861,0.45727,0.07267,0.29066,1.13299,2015
Senegal,3.904,0.36498,0.4354,0.36772,0.10713,0.20843,0.97619,2015
Gabon,3.896,1.06024,0.43372,0.31914,0.11091,0.06822,0.90528,2015
Niger,3.845,0.0694,0.29707,0.47692,0.15639,0.19387,0.77265,2015
Cambodia,3.819,0.46038,0.61114,0.66246,0.07247,0.40359,0.62736,2015
Tanzania,3.781,0.2852,0.38215,0.32878,0.05747,0.34377,1.00268,2015
Madagascar,3.681,0.20824,0.46721,0.19184,0.08124,0.21333,0.66801,2015
Central African Republic,3.678,0.0785,0.06699,0.48879,0.08289,0.23835,0.0,2015
Chad,3.667,0.34193,0.1501,0.23501,0.05269,0.18386,0.76062,2015
Guinea,3.656,0.17417,0.24009,0.37725,0.12139,0.28657,0.46475,2015
Ivory Coast,3.655,0.46534,0.15185,0.46866,0.17922,0.20165,0.77115,2015
Burkina Faso,3.587,0.25812,0.27125,0.39493,0.12832,0.21747,0.85188,2015
Afghanistan,3.575,0.31982,0.30335,0.23414,0.09719,0.3651,0.30285,2015
Rwanda,3.465,0.22208,0.42864,0.59201,0.55191,0.22628,0.7737,2015
Benin,3.34,0.28665,0.3191,0.4845,0.0801,0.1826,0.35386,2015
Syria,3.006,0.6632,0.72193,0.15684,0.18906,0.47179,0.47489,2015
Burundi,2.905,0.0153,0.22396,0.1185,0.10062,0.19727,0.41587,2015
Togo,2.839,0.20868,0.28443,0.36453,0.10731,0.16681,0.13995,2015
Denmark,7.526,1.44178,0.79504,0.57941,0.44453,0.36171,1.16374,2016
Switzerland,7.509,1.52733,0.86303,0.58557,0.41203,0.28083,1.14524,2016
Iceland,7.501,1.42666,0.86733,0.56624,0.14975,0.47678,1.18326,2016
Norway,7.498,1.57744,0.79579,0.59609,0.35776,0.37895,1.1269,2016
Finland,7.413,1.40598,0.81091,0.57104,0.41004,0.25492,1.13464,2016
Canada,7.404,1.44015,0.8276,0.5737,0.31329,0.44834,1.0961,2016
Netherlands,7.339,1.46468,0.81231,0.55211,0.29927,0.47416,1.02912,2016
New Zealand,7.334,1.36066,0.83096,0.58147,0.41904,0.49401,1.17278,2016
Australia,7.313,1.44443,0.8512,0.56837,0.32331,0.47407,1.10476,2016
Sweden,7.291,1.45181,0.83121,0.58218,0.40867,0.38254,1.08764,2016
Israel,7.267,1.33766,0.84917,0.36432,0.08728,0.32288,0.99537,2016
Austria,7.119,1.45038,0.80565,0.54355,0.21348,0.32865,1.08383,2016
United States,7.104,1.50796,0.779,0.48163,0.14868,0.41077,1.04782,2016
